cube/weight,arm/velocity_ratio,arm/acceleration_ratio,belt/speed,dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage
1.2,55,55,55,go_to_color_detect_down,red,TRUE,FALSE,FALSE,53:42.8,15.798,0.15,233.1
1.2,55,55,55,go_to_color_detect_down,red,TRUE,FALSE,FALSE,53:43.6,15.798,0.15,233.1
1.2,55,55,55,go_to_color_detect_up,red,TRUE,FALSE,TRUE,53:45.2,15.949,0.15,233.1
1.2,55,55,55,go_to_color_detect_up,red,TRUE,FALSE,TRUE,53:45.9,15.949,0.15,233.1
1.2,55,55,55,go_to_red_up,red,TRUE,FALSE,TRUE,53:46.7,22.5,0.204,233.1
1.2,55,55,55,go_to_red_up,red,TRUE,FALSE,TRUE,53:47.5,21.969,0.204,233.1
1.2,55,55,55,go_to_red_up,red,TRUE,FALSE,TRUE,53:49.0,22.196,0.205,233.1
1.2,55,55,55,go_to_red_down,red,TRUE,FALSE,TRUE,53:49.7,22.234,0.205,233.1
1.2,55,55,55,go_to_red_down,red,TRUE,FALSE,TRUE,53:51.2,21.684,0.2,233.1
1.2,55,55,55,go_to_red_up,red,TRUE,FALSE,FALSE,53:52.0,21.703,0.2,233.1
1.2,55,55,55,go_to_red_up,red,TRUE,FALSE,FALSE,53:52.7,16.69,0.156,233.1
1.2,55,55,55,go_to_pick_up_from_red,red,TRUE,FALSE,FALSE,53:54.3,16.671,0.156,233.1
1.2,55,55,55,go_to_pick_up_from_red,red,TRUE,FALSE,FALSE,53:55.0,16.557,0.157,233.1
1.2,55,55,55,go_to_pick_up_from_red,red,TRUE,FALSE,FALSE,53:55.7,16.557,0.157,233.1
1.2,55,55,55,go_to_pick_up_from_red,red,TRUE,FALSE,FALSE,53:57.2,16.443,0.156,233.1
1.2,55,55,55,moving_belt,red,FALSE,TRUE,FALSE,53:57.9,16.671,0.156,233.1
1.2,55,55,55,moving_belt,red,FALSE,TRUE,FALSE,53:58.7,16.481,0.156,233.1
1.2,55,55,55,moving_belt,red,FALSE,TRUE,FALSE,53:59.5,16.481,0.156,233.1
1.2,55,55,55,moving_belt,red,FALSE,TRUE,FALSE,54:01.0,16.234,0.156,233.1
1.2,55,55,55,moving_belt,red,FALSE,TRUE,FALSE,54:02.1,16.462,0.157,233.1
1.2,55,55,55,go_to_pick_down,red,TRUE,FALSE,FALSE,54:02.9,16.5,0.157,233.1
1.2,55,55,55,go_to_pick_down,red,TRUE,FALSE,FALSE,54:03.7,16.595,0.157,233.1
1.2,55,55,55,go_to_pick_up_from_pick_down,red,TRUE,FALSE,TRUE,54:05.2,16.937,0.154,233.1
1.2,55,55,55,go_to_color_detect_up,red,TRUE,FALSE,TRUE,54:06.0,22.88,0.203,233.1
1.2,55,55,55,go_to_color_detect_up,red,TRUE,FALSE,TRUE,54:06.9,22.064,0.203,233.1
1.2,55,55,55,go_to_color_detect_up,red,TRUE,FALSE,TRUE,54:07.6,22.443,0.203,233.1
1.2,55,55,55,go_to_color_detect_down,red,TRUE,FALSE,TRUE,54:09.1,22.215,0.202,233.1
1.2,55,55,55,go_to_color_detect_down,red,TRUE,FALSE,TRUE,54:09.8,21.855,0.202,233.1
1.2,55,55,55,go_to_color_detect_up,red,TRUE,FALSE,FALSE,54:11.3,21.361,0.195,233.1
1.2,55,55,55,go_to_color_detect_up,red,TRUE,FALSE,FALSE,54:12.0,21.361,0.195,233.1
1.2,55,55,55,detecting_color,red,FALSE,FALSE,FALSE,54:12.8,16.785,0.156,233.1
1.2,55,55,55,go_to_color_detect_down,blue,TRUE,FALSE,FALSE,54:13.5,16.025,0.156,233.1
1.2,55,55,55,go_to_color_detect_down,blue,TRUE,FALSE,FALSE,54:14.6,16.025,0.156,233.1
1.2,55,55,55,go_to_color_detect_up,blue,TRUE,FALSE,TRUE,54:16.2,16.044,0.15,233.1
1.2,55,55,55,go_to_color_detect_up,blue,TRUE,FALSE,TRUE,54:17.0,16.044,0.162,233.1
1.2,55,55,55,go_to_blue_up,blue,TRUE,FALSE,TRUE,54:17.8,22.899,0.162,233.1
1.2,55,55,55,go_to_blue_up,blue,TRUE,FALSE,TRUE,54:18.6,22.405,0.162,233.1
1.2,55,55,55,go_to_blue_up,blue,TRUE,FALSE,TRUE,54:20.1,22.5,0.196,233.1
1.2,55,55,55,go_to_blue_up,blue,TRUE,FALSE,TRUE,54:20.8,22.443,0.203,233.1
1.2,55,55,55,go_to_blue_down,blue,TRUE,FALSE,TRUE,54:21.6,22.443,0.203,233.1
1.2,55,55,55,go_to_blue_down,blue,TRUE,FALSE,TRUE,54:23.0,21.893,0.197,233.1
1.2,55,55,55,go_to_blue_up,blue,TRUE,FALSE,FALSE,54:23.8,21.836,0.197,233.1
1.2,55,55,55,go_to_blue_up,blue,TRUE,FALSE,FALSE,54:24.7,17.867,0.197,233.1
1.2,55,55,55,go_to_pick_up_from_blue,blue,TRUE,FALSE,FALSE,54:26.1,16.994,0.158,233.1
1.2,55,55,55,go_to_pick_up_from_blue,blue,TRUE,FALSE,FALSE,54:26.8,16.747,0.158,233.1
1.2,55,55,55,go_to_pick_up_from_blue,blue,TRUE,FALSE,FALSE,54:27.6,16.747,0.158,233.1
1.2,55,55,55,go_to_pick_up_from_blue,blue,TRUE,FALSE,FALSE,54:29.1,16.861,0.158,233.1
1.2,55,55,55,go_to_pick_up_from_blue,blue,TRUE,FALSE,FALSE,54:29.9,16.747,0.156,233.1
1.2,55,55,55,moving_belt,blue,FALSE,TRUE,FALSE,54:30.7,16.994,0.156,233.1
1.2,55,55,55,moving_belt,blue,FALSE,TRUE,FALSE,54:32.3,16.728,0.157,233.1
1.2,55,55,55,moving_belt,blue,FALSE,TRUE,FALSE,54:33.1,16.462,0.157,233.1
1.2,55,55,55,moving_belt,blue,FALSE,TRUE,FALSE,54:33.8,16.462,0.157,233.1
1.2,55,55,55,moving_belt,blue,FALSE,TRUE,FALSE,54:34.6,16.557,0.154,233.1
1.2,55,55,55,go_to_pick_down,blue,TRUE,FALSE,FALSE,54:36.1,16.386,0.154,233.1
1.2,55,55,55,go_to_pick_up_from_pick_down,blue,TRUE,FALSE,TRUE,54:36.9,16.614,0.155,233.1
1.2,55,55,55,go_to_pick_up_from_pick_down,blue,TRUE,FALSE,TRUE,54:37.7,20.032,0.155,233.1
1.2,55,55,55,go_to_color_detect_up,blue,TRUE,FALSE,TRUE,54:39.3,22.671,0.206,233.1
1.2,55,55,55,go_to_color_detect_up,blue,TRUE,FALSE,TRUE,54:40.2,22.443,0.206,233.1
1.2,55,55,55,go_to_color_detect_up,blue,TRUE,FALSE,TRUE,54:41.0,22.557,0.203,233.1
