meross/sample_timestamp,meross/power,meross/current,meross/voltage,dobot/velocity
28:31.9,16.766,0.16,235,30
28:32.7,16.633,0.16,235,30
28:33.4,16.595,0.16,235,30
28:34.8,16.196,0.157,235,30
28:35.4,16.196,0.157,235,30
28:36.8,16.386,0.153,235,30
28:37.5,16.671,0.153,235,30
28:38.9,16.823,0.157,235,30
28:39.6,16.424,0.157,235,30
28:40.3,16.424,0.157,235,30
28:41.7,16.538,0.158,235,30
28:42.4,16.367,0.158,235,30
28:43.7,16.329,0.157,235,30
28:44.4,16.405,0.157,235,30
28:45.8,16.291,0.155,235,30
28:46.5,16.291,0.155,235,30
28:47.9,16.348,0.152,235,30
28:48.6,16.633,0.152,235,30
28:50.0,16.443,0.155,235,30
28:50.7,16.405,0.155,235,30
28:51.4,16.405,0.155,235,30
28:52.7,16.462,0.156,235,30
28:53.4,16.272,0.156,235,30
28:54.8,16.367,0.155,235,30
28:55.5,16.31,0.155,235,30
28:56.9,16.766,0.156,235,30
28:57.6,16.766,0.156,235,30
28:59.0,16.804,0.158,235,30
28:59.7,16.405,0.158,235,30
29:00.4,16.405,0.158,235,30
29:01.8,16.386,0.155,235,30
29:02.5,16.386,0.155,235,30
29:03.7,16.443,0.157,235,30
29:04.4,16.595,0.157,235,30
29:05.8,16.519,0.157,235,30
29:06.5,16.652,0.157,235,30
29:07.9,16.291,0.156,235,30
29:08.6,16.291,0.156,235,30
29:09.3,16.348,0.156,235,30
29:10.7,16.367,0.156,235,30
29:11.4,16.367,0.156,235,30
29:12.8,16.405,0.156,235,30
29:13.5,16.405,0.156,235,30
29:14.9,16.424,0.158,235,30
29:15.5,16.614,0.158,235,30
29:16.9,16.348,0.157,235,30
29:17.6,16.538,0.157,235,30
29:19.0,16.31,0.157,235,30
29:19.7,16.31,0.157,235,30
29:20.4,16.367,0.157,235,30
29:21.4,16.367,0.156,235,30
29:22.7,16.519,0.156,235,30
29:23.4,16.519,0.158,235,30
29:24.8,16.861,0.158,235,30
29:25.8,16.576,0.157,235,30
29:26.5,16.424,0.157,235,30
29:27.8,16.405,0.156,235,30
29:28.5,16.405,0.156,235,30
29:30.0,16.405,0.159,235,30
29:30.8,16.88,0.159,235,30
29:31.6,16.766,0.159,235,30
29:32.4,16.519,0.157,235,30
29:33.8,16.462,0.157,235,30
29:34.5,16.462,0.157,235,30
29:35.9,16.329,0.157,235,30
29:36.6,16.367,0.153,235,30
29:38.0,16.386,0.153,235,30
29:38.7,16.329,0.154,235,30
29:39.4,16.329,0.154,235,30
29:40.7,16.405,0.159,235,30
29:41.4,16.576,0.159,235,30
29:42.8,16.367,0.159,235,30
29:43.5,16.367,0.158,235,30
29:44.9,16.424,0.158,235,30
29:45.6,16.424,0.153,235,30
29:46.3,16.367,0.153,235,30
29:47.7,16.424,0.154,235,30
29:48.4,16.424,0.154,235,30
29:49.8,16.709,0.159,235,30
29:50.6,16.709,0.159,235,30
29:51.4,16.519,0.159,235,30
29:52.7,16.291,0.156,235,30
29:53.4,16.234,0.156,235,30
29:54.8,16.367,0.157,235,30
29:55.5,16.367,0.157,235,30
29:56.9,16.5,0.159,235,30
29:57.6,16.918,0.159,235,30
29:59.0,16.291,0.157,235,30
29:59.7,16.462,0.157,235,30
30:00.4,16.462,0.157,235,30
30:01.8,16.5,0.157,235,30
