meross/sample_timestamp,meross/power,meross/current,meross/voltage
48:00.7,16.272,0.153,236.8
48:00.7,16.272,0.153,236.8
48:00.7,16.272,0.153,236.8
48:03.7,16.405,0.153,236.8
48:05.1,16.215,0.153,236.8
48:05.9,16.329,0.153,236.8
48:05.9,16.329,0.153,236.8
48:07.9,16.367,0.153,236.8
48:08.9,16.443,0.153,236.8
48:10.3,16.12,0.153,235
48:10.3,16.12,0.153,235
48:12.0,16.082,0.153,235
48:13.4,16.291,0.153,235
48:13.4,16.291,0.153,235
48:15.0,16.196,0.153,236.8
48:15.8,16.443,0.153,236.8
48:16.9,16.215,0.153,236.8
48:17.6,16.405,0.153,236.8
48:18.9,16.405,0.153,236.8
48:19.7,16.253,0.153,235
48:20.5,16.386,0.153,235
48:22.1,16.272,0.153,236.8
48:23.0,16.367,0.153,236.8
48:24.4,16.329,0.153,235
48:25.1,16.405,0.153,236.8
48:26.3,16.405,0.153,236.8
48:27.1,16.405,0.153,236.8
48:28.3,16.291,0.153,236.8
48:29.4,16.386,0.153,236.8
48:29.4,16.386,0.153,236.8
48:31.2,16.291,0.153,236.8
48:32.0,16.291,0.153,236.8
48:32.8,16.329,0.153,236.8
48:34.3,16.329,0.153,236.8
48:35.1,16.215,0.153,236.8
48:35.9,16.215,0.153,236.8
48:36.7,16.31,0.153,236.8
48:37.9,16.31,0.153,236.8
48:38.8,16.367,0.153,235
48:39.7,16.367,0.153,235
48:41.4,16.424,0.154,236.8
48:42.1,16.348,0.154,236.8
48:42.8,16.348,0.153,236.8
48:43.7,16.291,0.153,236.8
48:44.7,16.291,0.153,236.8
48:46.3,16.196,0.153,236.8
48:46.3,16.196,0.153,236.8
48:48.4,16.348,0.154,236.8
48:49.2,16.405,0.153,236.8
48:50.0,16.253,0.153,236.8
48:50.9,16.424,0.153,236.8
48:51.7,16.424,0.152,236.8
48:52.5,16.253,0.152,235
48:53.9,16.386,0.152,235
48:54.7,16.424,0.153,235
48:56.5,16.291,0.152,235
48:56.5,16.291,0.152,235
48:57.8,16.196,0.152,236.8
48:59.4,16.291,0.153,236.8
49:00.1,16.405,0.153,236.8
49:00.1,16.405,0.153,236.8
49:01.9,16.348,0.153,236.8
49:03.0,16.272,0.153,236.8
49:03.8,16.386,0.153,236.8
49:05.4,16.234,0.152,236.8
49:05.4,16.234,0.152,236.8
49:07.3,16.253,0.153,236.8
49:08.0,16.253,0.153,236.8
49:09.4,16.424,0.153,236.8
49:10.1,16.424,0.153,236.8
49:11.5,16.272,0.153,236.8
49:12.2,16.177,0.153,236.8
49:13.0,16.177,0.153,236.8
49:13.8,16.405,0.153,236.8
49:15.4,16.253,0.153,236.8
49:16.2,16.253,0.153,236.8
49:17.4,16.291,0.153,236.8
49:18.1,16.443,0.153,236.8
49:18.9,16.443,0.153,236.8
49:19.8,16.253,0.153,236.8
49:21.4,16.291,0.154,236.8
49:21.4,16.291,0.154,236.8
49:23.2,16.329,0.154,236.8
49:24.0,16.481,0.153,236.8
49:24.7,16.405,0.153,236.8
49:26.3,16.291,0.153,236.8
49:26.3,16.291,0.153,236.8
49:27.9,16.443,0.154,236.8
49:29.4,16.348,0.153,236.8
49:29.4,16.348,0.153,236.8
49:31.2,16.329,0.153,235
49:32.0,16.272,0.152,235
49:32.9,16.272,0.152,235
49:34.2,16.329,0.153,235
49:34.2,16.329,0.153,235
49:34.2,16.329,0.153,235
49:36.8,16.329,0.153,236.8
49:37.7,16.234,0.153,236.8
49:38.8,16.272,0.153,236.8
49:40.3,16.424,0.153,236.8
49:41.1,16.424,0.153,236.8
49:41.9,16.196,0.153,235
49:42.7,16.196,0.153,235
49:42.7,16.196,0.153,235
49:45.0,16.348,0.153,235
49:45.7,16.348,0.153,235
49:47.4,16.348,0.153,235
49:47.4,16.348,0.153,235
49:49.0,16.234,0.153,235
49:49.9,16.272,0.154,235
