meross/sample_timestamp,meross/power,meross/current,meross/voltage,dobot/acceleration
04:38.4,16.405,0.154,235,30
04:39.2,16.519,0.154,235,30
04:39.9,16.519,0.154,235,30
04:41.4,16.31,0.154,235,30
04:42.1,16.386,0.154,235,30
04:42.8,16.329,0.154,235,30
04:44.3,16.424,0.154,235,30
04:45.4,16.424,0.154,235,30
04:46.2,16.405,0.154,235,30
04:47.0,16.519,0.154,235,30
04:47.7,16.69,0.154,235,30
04:48.9,16.69,0.155,235,30
04:49.9,16.462,0.155,235,30
04:51.2,16.576,0.155,235,30
04:51.9,16.386,0.155,235,30
04:53.4,16.367,0.154,235,30
04:54.2,16.538,0.154,235,30
04:54.9,16.538,0.154,235,30
04:56.4,16.576,0.154,235,30
04:57.1,16.576,0.154,235,30
04:57.9,16.899,0.157,235,30
04:59.4,16.633,0.157,235,30
05:00.2,16.272,0.153,235,30
05:00.9,16.272,0.153,235,30
05:02.5,16.405,0.153,235,30
05:03.2,16.386,0.153,235,30
05:03.9,16.519,0.153,235,30
05:05.5,16.937,0.155,235,30
05:06.3,16.709,0.154,235,30
05:07.1,16.709,0.154,235,30
05:08.0,16.5,0.154,235,30
05:09.5,16.424,0.153,235,30
05:10.5,16.424,0.153,235,30
05:11.2,16.443,0.152,235,30
05:11.9,16.443,0.152,235,30
05:13.4,16.462,0.152,235,30
05:14.1,16.5,0.152,235,30
05:15.1,16.386,0.152,235,30
05:16.5,16.462,0.154,235,30
05:17.2,16.728,0.154,235,30
05:17.9,16.728,0.156,235,30
05:19.5,16.462,0.156,235,30
05:20.2,16.481,0.155,235,30
05:21.3,16.595,0.155,235,30
05:22.1,16.595,0.155,235,30
05:23.0,16.348,0.154,235,30
05:23.7,16.481,0.154,235,30
05:25.4,16.405,0.154,235,30
05:26.2,16.576,0.154,235,30
05:26.9,16.576,0.157,235,30
05:28.5,16.785,0.157,235,30
05:29.3,16.785,0.155,235,30
05:30.1,16.405,0.155,235,30
05:30.8,16.348,0.155,235,30
05:32.4,16.405,0.153,235,30
05:33.1,16.405,0.153,235,30
05:34.1,16.538,0.154,235,30
05:35.0,16.861,0.154,235,30
05:36.4,16.842,0.155,235,30
05:36.4,16.842,0.155,235,30
05:37.6,16.405,0.155,235,30
05:39.0,16.557,0.156,235,30
05:40.4,16.386,0.154,235,30
05:41.2,16.386,0.154,235,30
05:42.0,16.424,0.154,235,30
05:43.4,16.405,0.154,235,30
05:44.1,16.405,0.154,235,30
05:44.8,16.5,0.155,235,30
05:46.4,16.481,0.155,235,30
05:47.1,16.728,0.156,235,30
05:48.6,16.462,0.156,235,30
05:48.6,16.462,0.156,235,30
05:50.3,16.519,0.155,235,30
05:51.1,16.5,0.155,235,30
05:51.8,16.443,0.155,235,30
05:53.3,16.386,0.155,235,30
05:54.0,16.462,0.155,235,30
05:55.5,16.329,0.155,235,30
05:56.3,16.329,0.155,235,30
05:56.3,16.329,0.155,235,30
05:57.6,16.747,0.155,235,30
05:57.6,16.747,0.155,235,30
06:00.4,16.994,0.158,235,30
06:01.2,16.31,0.155,235,30
06:01.9,16.272,0.155,235,30
06:03.3,16.405,0.155,235,30
06:04.0,16.652,0.155,235,30
06:04.9,16.652,0.158,235,30
06:06.5,16.614,0.158,235,30
06:07.3,16.614,0.155,235,30
06:08.0,16.538,0.155,235,30
06:09.4,16.424,0.155,235,30
06:10.2,16.462,0.155,235,30
06:10.9,16.462,0.155,235,30
06:12.3,16.462,0.155,235,30
06:13.1,16.576,0.155,235,30
06:24.4,16.5,0.155,235,40
06:25.2,16.5,0.155,235,40
06:26.1,16.5,0.155,235,40
06:27.6,16.69,0.157,235,40
06:28.4,16.405,0.157,235,40
06:29.1,16.785,0.156,235,40
06:29.9,16.785,0.156,235,40
06:31.5,16.329,0.154,235,40
06:32.2,16.329,0.154,235,40
06:33.0,16.481,0.154,235,40
06:33.8,16.481,0.155,235,40
06:35.4,16.747,0.158,235,40
06:36.5,16.747,0.158,235,40
06:37.2,16.633,0.158,235,40
06:38.1,16.367,0.154,235,40
06:39.5,16.348,0.154,235,40
06:40.4,16.5,0.154,235,40
06:40.4,16.5,0.154,235,40
06:41.9,16.5,0.154,235,40
06:43.4,16.633,0.158,235,40
06:44.2,16.481,0.158,235,40
06:45.6,16.405,0.156,235,40
06:46.3,16.462,0.156,235,40
06:47.2,16.462,0.155,235,40
06:48.1,16.538,0.155,235,40
06:48.9,16.291,0.155,235,40
06:50.4,16.31,0.155,235,40
06:51.2,16.443,0.156,235,40
06:52.0,16.443,0.156,235,40
06:53.5,16.443,0.155,235,40
06:54.3,16.443,0.155,235,40
06:55.0,16.5,0.155,235,40
06:56.4,16.272,0.156,235,40
06:57.4,16.272,0.156,235,40
06:58.1,16.234,0.155,235,40
06:58.9,16.367,0.155,235,40
07:00.4,16.519,0.156,235,40
07:01.3,16.937,0.156,235,40
07:02.0,16.937,0.157,235,40
07:02.7,16.519,0.157,235,40
07:04.4,16.386,0.156,235,40
07:04.4,16.386,0.156,235,40
07:06.5,16.443,0.156,235,40
07:06.5,16.443,0.156,235,40
07:08.3,16.956,0.156,235,40
07:09.0,16.576,0.155,235,40
07:10.2,16.5,0.155,235,40
07:11.0,16.367,0.155,235,40
07:11.7,16.367,0.155,235,40
07:13.3,16.348,0.155,235,40
07:14.2,16.386,0.156,235,40
07:15.1,16.443,0.156,235,40
07:15.1,16.443,0.156,235,40
07:16.8,16.234,0.155,233.1,40
07:17.7,16.367,0.159,233.1,40
07:17.7,16.367,0.159,233.1,40
07:17.7,16.367,0.159,233.1,40
07:17.7,16.367,0.159,233.1,40
07:17.7,16.367,0.159,233.1,40
07:17.7,16.367,0.159,233.1,40
07:17.7,16.367,0.159,233.1,40
07:17.7,16.367,0.159,233.1,40
07:17.7,16.367,0.159,233.1,40
07:17.7,16.367,0.159,233.1,40
07:17.7,16.367,0.159,233.1,40
07:17.7,16.367,0.159,233.1,40
07:17.7,16.367,0.159,233.1,40
07:17.7,16.367,0.159,233.1,40
07:17.7,16.367,0.159,233.1,40
07:17.7,16.367,0.159,233.1,40
07:17.7,16.367,0.159,233.1,40
07:17.7,16.367,0.159,233.1,40
07:17.7,16.367,0.159,233.1,40
07:17.7,16.367,0.159,233.1,40
07:17.7,16.367,0.159,233.1,40
07:39.4,16.405,0.157,235,40
07:39.4,16.405,0.157,235,40
07:41.6,16.443,0.155,235,40
07:42.3,16.443,0.155,235,40
07:42.3,16.443,0.155,235,40
07:44.0,16.443,0.155,235,40
07:44.0,16.443,0.155,235,40
07:45.7,16.88,0.155,235,40
07:45.7,16.88,0.155,235,40
07:45.7,16.88,0.155,235,40
07:45.7,16.88,0.155,235,40
07:45.7,16.88,0.155,235,40
07:45.7,16.88,0.155,235,40
07:51.7,16.329,0.155,235,40
07:53.2,16.728,0.155,235,40
07:53.2,16.728,0.155,235,40
07:53.2,16.728,0.155,235,40
07:53.2,16.728,0.155,235,40
07:57.0,16.462,0.155,235,40
07:57.7,16.367,0.155,235,40
07:59.5,16.747,0.157,235,40
07:59.5,16.747,0.157,235,40
07:59.5,16.747,0.157,235,40
08:02.1,16.671,0.155,235,40
08:02.1,16.671,0.155,235,40
08:02.1,16.671,0.155,235,40
08:05.0,16.386,0.155,235,40
08:05.0,16.386,0.155,235,40
08:05.0,16.386,0.155,235,40
08:05.0,16.386,0.155,235,40
08:05.0,16.386,0.155,235,40
08:05.0,16.386,0.155,235,40
08:05.0,16.386,0.155,235,40
08:05.0,16.386,0.155,235,40
08:12.8,16.595,0.156,235,40
08:13.8,16.443,0.154,235,40
08:13.8,16.443,0.154,235,40
08:13.8,16.443,0.154,235,40
08:17.3,16.424,0.154,235,40
08:18.2,16.5,0.159,235,40
08:19.6,16.595,0.159,235,40
08:20.4,16.595,0.155,235,40
08:21.3,16.443,0.155,235,40
08:22.3,16.386,0.155,235,40
08:23.0,16.386,0.155,235,40
08:24.6,16.367,0.155,235,40
08:25.6,16.88,0.159,235,40
08:26.4,16.576,0.159,235,40
08:27.2,16.5,0.155,235,40
08:28.6,16.443,0.155,235,40
08:29.3,16.443,0.155,235,40
08:30.1,16.424,0.155,235,40
08:31.0,16.386,0.155,235,40
08:42.4,16.519,0.155,235,50
08:43.1,16.519,0.155,235,50
08:43.9,16.481,0.155,235,50
08:43.9,16.481,0.155,235,50
08:46.0,16.557,0.156,235,50
08:47.3,16.652,0.156,235,50
08:48.1,16.747,0.156,235,50
08:48.1,16.747,0.156,235,50
08:48.1,16.747,0.156,235,50
08:51.5,16.443,0.156,235,50
08:52.4,16.424,0.156,235,50
08:53.6,17.07,0.16,235,50
08:53.6,17.07,0.16,235,50
08:53.6,17.07,0.16,235,50
08:53.6,17.07,0.16,235,50
08:53.6,17.07,0.16,235,50
08:58.5,16.804,0.156,235,50
08:59.2,16.804,0.156,235,50
09:00.1,16.918,0.157,235,50
09:01.0,16.443,0.157,235,50
09:01.0,16.443,0.157,235,50
09:01.0,16.443,0.157,235,50
09:01.0,16.443,0.157,235,50
09:01.0,16.443,0.157,235,50
09:06.5,16.367,0.156,235,50
09:07.2,16.443,0.156,235,50
09:07.2,16.443,0.156,235,50
09:07.2,16.443,0.156,235,50
09:07.2,16.443,0.156,235,50
09:11.3,16.538,0.156,235,50
09:11.3,16.538,0.156,235,50
09:11.3,16.538,0.156,235,50
09:11.3,16.538,0.156,235,50
09:11.3,16.538,0.156,235,50
09:15.8,16.538,0.156,235,50
09:15.8,16.538,0.156,235,50
09:15.8,16.538,0.156,235,50
09:15.8,16.538,0.156,235,50
09:19.7,16.424,0.155,235,50
09:19.7,16.424,0.155,235,50
09:22.3,16.88,0.159,235,50
09:22.3,16.88,0.159,235,50
