dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/operation,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage,cube_weight_g
go_to_pick_up,blue,TRUE,FALSE,go_to_pick_up,TRUE,29:21.2,16.424,0.161,235,1.3
go_to_pick_up,blue,TRUE,FALSE,go_to_pick_up,TRUE,29:21.9,23.013,0.161,235,1.3
go_to_color_detect_up,blue,TRUE,FALSE,go_to_color_detect_up,TRUE,29:22.6,23.013,0.208,235,1.3
go_to_color_detect_up,blue,TRUE,FALSE,go_to_color_detect_up,TRUE,29:24.0,22.424,0.208,235,1.3
go_to_color_detect_down,blue,TRUE,FALSE,go_to_color_detect_down,TRUE,29:24.7,22.064,0.203,235,1.3
go_to_color_detect_down,blue,TRUE,FALSE,go_to_color_detect_down,TRUE,29:26.1,21.893,0.203,235,1.3
go_to_color_detect_up,blue,TRUE,FALSE,go_to_color_detect_up,FALSE,29:26.7,21.665,0.198,235,1.3
go_to_color_detect_up,blue,TRUE,FALSE,go_to_color_detect_up,FALSE,29:28.1,18.513,0.198,235,1.3
detecting_color,blue,FALSE,FALSE,detecting_color,FALSE,29:28.8,17.07,0.16,235,1.3
go_to_color_detect_down,red,TRUE,FALSE,go_to_color_detect_down,FALSE,29:30.2,16.481,0.16,235,1.3
go_to_color_detect_down,red,TRUE,FALSE,go_to_color_detect_down,FALSE,29:30.9,16.481,0.159,235,1.3
go_to_color_detect_up,red,TRUE,FALSE,go_to_color_detect_up,TRUE,29:31.6,16.5,0.159,235,1.3
go_to_color_detect_up,red,TRUE,FALSE,go_to_color_detect_up,TRUE,29:33.2,22.766,0.211,235,1.3
go_to_red_up,red,TRUE,FALSE,go_to_red_up,TRUE,29:33.9,22.766,0.211,235,1.3
go_to_red_up,red,TRUE,FALSE,go_to_red_up,TRUE,29:34.7,22.14,0.211,235,1.3
go_to_red_down,red,TRUE,FALSE,go_to_red_down,TRUE,29:36.0,22.329,0.207,235,1.3
go_to_red_down,red,TRUE,FALSE,go_to_red_down,TRUE,29:36.7,21.95,0.207,235,1.3
go_to_red_up,red,TRUE,FALSE,go_to_red_up,FALSE,29:38.1,21.969,0.2,235,1.3
go_to_red_up,red,TRUE,FALSE,go_to_red_up,FALSE,29:38.8,17.639,0.2,235,1.3
go_to_red_up,red,FALSE,TRUE,go_to_red_up,FALSE,29:40.2,17.013,0.163,235,1.3
go_to_red_up,red,FALSE,TRUE,go_to_red_up,FALSE,29:40.9,17.013,0.163,235,1.3
