cube/weight,arm/velocity_ratio,arm/acceleration_ratio,belt/speed,dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/operation2,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage
1.2,50,50,50,go_to_pick_up_from_red,red,TRUE,FALSE,joint 1 -,FALSE,35:25.0,16.595,0.158,238.7
1.2,50,50,50,go_to_pick_up_from_red,red,TRUE,FALSE,joint 1 -,FALSE,35:25.7,16.576,0.158,238.7
1.2,50,50,50,go_to_pick_up_from_red,red,TRUE,FALSE,joint 1 -,FALSE,35:27.0,16.633,0.156,238.7
1.2,50,50,50,moving_belt,red,FALSE,TRUE,joint 1 -,FALSE,35:27.7,16.633,0.156,238.7
1.2,50,50,50,moving_belt,red,FALSE,TRUE,joint 1 -,FALSE,35:28.4,16.557,0.156,238.7
1.2,50,50,50,moving_belt,red,FALSE,TRUE,joint 1 -,FALSE,35:29.9,16.671,0.156,238.7
1.2,50,50,50,moving_belt,red,FALSE,TRUE,joint 1 -,FALSE,35:30.6,16.614,0.155,238.7
1.2,50,50,50,moving_belt,red,FALSE,TRUE,joint 1 -,FALSE,35:32.0,16.614,0.155,238.7
1.2,50,50,50,moving_belt,red,FALSE,TRUE,joint 1 -,FALSE,35:32.7,16.614,0.157,238.7
1.2,50,50,50,go_to_pick_down,red,TRUE,FALSE,joint 3 +,FALSE,35:33.4,16.88,0.157,238.7
1.2,50,50,50,go_to_pick_down,red,TRUE,FALSE,joint 3 +,FALSE,35:34.5,16.823,0.157,238.7
1.2,50,50,50,go_to_pick_up_from_pick_down,red,TRUE,FALSE,joint 3 -,TRUE,35:35.2,16.652,0.155,238.7
1.2,50,50,50,go_to_pick_up_from_pick_down,red,TRUE,FALSE,joint 3 -,TRUE,35:36.8,21.57,0.207,238.7
1.2,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,joint 1 +,TRUE,35:37.5,22.899,0.207,238.7
1.2,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,joint 1 +,TRUE,35:38.8,22.196,0.2,238.7
1.2,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,joint 1 +,TRUE,35:39.5,22.196,0.2,238.7
1.2,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,joint 2 +,TRUE,35:41.0,22.158,0.2,238.7
1.2,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,joint 2 +,TRUE,35:41.7,22.291,0.2,238.7
1.2,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,joint 2 +,TRUE,35:42.4,21.988,0.2,238.7
1.2,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,joint 2 +,FALSE,35:43.8,22.177,0.199,238.7
1.2,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,joint 3 -,FALSE,35:44.5,22.007,0.199,238.7
1.2,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,joint 3 -,FALSE,35:45.9,16.88,0.158,238.7
1.2,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,joint 3 -,FALSE,35:46.6,16.88,0.158,238.7
1.2,50,50,50,detecting_color,red,FALSE,FALSE,detecting_color,FALSE,35:48.0,16.88,0.16,238.7
1.2,50,50,50,detecting_color,red,FALSE,FALSE,detecting_color,FALSE,35:48.7,16.88,0.16,236.8
1.2,50,50,50,go_to_color_detect_down,red,TRUE,FALSE,joint 3 +,FALSE,35:49.4,16.709,0.16,236.8
1.2,50,50,50,go_to_color_detect_down,red,TRUE,FALSE,joint 3 +,FALSE,35:50.8,16.766,0.155,238.7
1.2,50,50,50,go_to_color_detect_down,red,TRUE,FALSE,joint 3 +,FALSE,35:51.5,16.766,0.155,238.7
1.2,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,joint 3 -,TRUE,35:52.9,16.728,0.156,238.7
1.2,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,joint 3 -,TRUE,35:53.6,16.728,0.156,238.7
1.2,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,joint 3 -,TRUE,35:54.9,22.804,0.207,238.7
1.2,50,50,50,go_to_color_detect_up,red,TRUE,FALSE,joint 3 -,TRUE,35:55.6,22.614,0.207,238.7
1.2,50,50,50,go_to_green_up,green,TRUE,FALSE,joint 1 +,TRUE,35:56.8,22.519,0.204,238.7
1.2,50,50,50,go_to_green_up,green,TRUE,FALSE,joint 1 +,TRUE,35:57.5,21.969,0.204,238.7
1.2,50,50,50,go_to_pick_up_from_green,green,TRUE,FALSE,joint 1 -,FALSE,35:58.2,21.969,0.199,238.7
1.2,50,50,50,go_to_pick_up_from_green,green,TRUE,FALSE,joint 1 -,FALSE,35:59.3,22.367,0.199,238.7
1.2,50,50,50,go_to_pick_up_from_green,green,TRUE,FALSE,joint 1 -,FALSE,36:00.8,16.557,0.155,238.7
1.2,50,50,50,go_to_pick_up_from_green,green,TRUE,FALSE,joint 1 -,FALSE,36:02.0,16.861,0.155,238.7
1.2,50,50,50,go_to_pick_up_from_green,green,TRUE,FALSE,joint 1 -,FALSE,36:02.9,16.519,0.156,238.7
1.2,50,50,50,moving_belt,green,FALSE,TRUE,joint 1 -,FALSE,36:03.5,16.519,0.156,238.7
1.2,50,50,50,moving_belt,green,FALSE,TRUE,joint 1 -,FALSE,36:04.9,16.652,0.158,238.7
1.2,50,50,50,moving_belt,green,FALSE,TRUE,joint 1 -,FALSE,36:05.6,16.88,0.158,238.7
1.2,50,50,50,moving_belt,green,FALSE,TRUE,joint 1 -,FALSE,36:07.0,16.842,0.157,238.7
1.2,50,50,50,moving_belt,green,FALSE,TRUE,joint 1 -,FALSE,36:07.7,16.804,0.157,238.7
1.2,50,50,50,go_to_pick_down,green,TRUE,FALSE,joint 3 +,FALSE,36:08.4,16.804,0.157,238.7
1.2,50,50,50,go_to_pick_down,green,TRUE,FALSE,joint 3 +,FALSE,36:09.8,16.576,0.156,238.7
1.2,50,50,50,go_to_pick_down,green,TRUE,FALSE,joint 3 +,TRUE,36:10.5,16.576,0.156,238.7
1.2,50,50,50,go_to_pick_up_from_pick_down,green,TRUE,FALSE,joint 3 -,TRUE,36:11.3,16.538,0.156,238.7
1.2,50,50,50,go_to_pick_up_from_pick_down,green,TRUE,FALSE,joint 3 -,TRUE,36:12.9,22.69,0.168,238.7
1.2,50,50,50,go_to_color_detect_up,green,TRUE,FALSE,joint 1 +,TRUE,36:13.7,22.69,0.203,238.7
1.2,50,50,50,go_to_color_detect_up,green,TRUE,FALSE,joint 1 +,TRUE,36:14.6,22.215,0.203,238.7
1.2,50,50,50,go_to_color_detect_up,green,TRUE,FALSE,joint 1 +,TRUE,36:15.6,22.177,0.203,238.7
1.2,50,50,50,go_to_color_detect_up,green,TRUE,FALSE,joint 2 +,TRUE,36:17.0,21.969,0.202,238.7
1.2,50,50,50,go_to_color_detect_up,green,TRUE,FALSE,joint 2 +,TRUE,36:17.7,22.064,0.2,238.7
1.2,50,50,50,go_to_color_detect_up,green,TRUE,FALSE,joint 2 +,TRUE,36:19.0,22.424,0.2,238.7
1.2,50,50,50,go_to_color_detect_up,green,TRUE,FALSE,joint 3 -,FALSE,36:19.7,21.95,0.202,238.7
1.2,50,50,50,go_to_color_detect_up,green,TRUE,FALSE,joint 3 -,FALSE,36:20.4,18.912,0.202,238.7
1.2,50,50,50,go_to_color_detect_up,green,TRUE,FALSE,joint 3 -,FALSE,36:21.8,17.051,0.202,238.7
1.2,50,50,50,detecting_color,green,FALSE,FALSE,detecting_color,FALSE,36:22.5,17.051,0.16,238.7
1.2,50,50,50,detecting_color,green,FALSE,FALSE,detecting_color,FALSE,36:23.8,16.595,0.16,238.7
1.2,50,50,50,go_to_color_detect_down,green,TRUE,FALSE,joint 3 +,FALSE,36:23.8,16.595,0.16,238.7
1.2,50,50,50,go_to_color_detect_down,green,TRUE,FALSE,joint 3 +,FALSE,36:26.0,16.823,0.157,238.7
1.2,50,50,50,go_to_color_detect_down,green,TRUE,FALSE,joint 3 +,FALSE,36:26.7,16.785,0.157,238.7
