meross/sample_timestamp,meross/power,meross/current,meross/voltage
17:04.4,2.981,0.047,236.8
17:05.1,3.019,0.05,236.8
17:06.0,3.019,0.05,236.8
17:06.8,3.019,0.05,236.8
17:08.2,3.019,0.045,236.8
17:08.9,3.019,0.045,236.8
17:09.8,3.019,0.044,236.8
17:11.4,2.962,0.044,236.8
17:12.1,2.962,0.051,236.8
17:12.8,2.962,0.051,236.8
17:13.6,2.962,0.05,236.8
17:14.5,2.962,0.05,236.8
17:16.3,2.962,0.051,236.8
17:17.0,2.962,0.051,236.8
17:17.7,2.962,0.049,236.8
17:19.4,2.943,0.049,236.8
17:20.2,2.943,0.051,236.8
17:21.3,2.943,0.051,236.8
17:22.0,2.943,0.048,236.8
17:22.8,2.943,0.048,236.8
17:23.7,2.943,0.048,236.8
17:25.3,3,0.046,236.8
17:26.1,3,0.047,236.8
17:27.0,3,0.047,236.8
17:27.7,3,0.047,236.8
17:29.2,3,0.047,236.8
17:30.0,3,0.047,236.8
17:31.1,3,0.047,236.8
17:32.0,3,0.047,236.8
17:32.8,3,0.049,236.8
17:33.7,3,0.049,236.8
17:35.4,3,0.051,236.8
17:36.3,3,0.049,236.8
17:37.0,3,0.049,236.8
17:37.8,3,0.049,236.8
17:39.4,3.019,0.046,236.8
17:40.3,3.019,0.046,236.8
17:41.0,3.019,0.045,236.8
17:41.7,3.019,0.045,236.8
17:43.2,3.019,0.048,236.8
17:44.0,3.019,0.048,236.8
17:44.9,3.019,0.048,236.8
17:45.7,3,0.044,236.8
17:47.3,3,0.044,236.8
17:48.1,3,0.045,236.8
17:49.0,3,0.045,236.8
17:49.7,3,0.046,236.8
17:51.3,3,0.046,236.8
17:52.1,2.962,0.045,236.8
17:53.0,2.962,0.045,236.8
17:53.8,2.962,0.045,236.8
17:55.4,2.962,0.046,236.8
17:56.2,2.962,0.045,236.8
17:57.1,2.962,0.045,236.8
17:57.8,2.962,0.045,236.8
17:59.4,3.019,0.046,236.8
18:00.3,3.019,0.048,236.8
18:01.0,3.019,0.048,236.8
18:01.9,3.019,0.048,236.8
18:02.7,3.019,0.041,236.8
18:04.3,3.019,0.041,236.8
18:05.2,3.019,0.049,236.8
18:06.0,2.981,0.049,236.8
18:06.8,2.981,0.049,236.8
18:08.5,2.981,0.044,236.8
18:09.2,2.981,0.043,236.8
18:10.0,2.981,0.043,236.8
18:10.9,2.981,0.043,236.8
18:11.7,2.981,0.048,236.8
18:13.3,2.886,0.048,235
18:14.1,2.886,0.046,235
18:14.9,2.886,0.046,235
18:15.8,2.886,0.047,235
18:17.4,2.886,0.047,235
18:18.2,2.886,0.049,235
18:19.0,2.962,0.049,235
18:19.8,2.962,0.045,235
18:21.4,2.962,0.045,235
18:22.2,2.962,0.042,235
18:23.1,2.962,0.042,235
18:23.9,2.962,0.042,235
18:24.7,2.962,0.051,235
18:26.3,2.981,0.046,235
18:27.2,2.981,0.046,235
18:27.9,2.981,0.046,235
18:28.7,2.981,0.043,235
18:30.3,2.981,0.043,235
18:31.2,2.981,0.046,235
18:32.0,2.981,0.046,235
18:32.8,2.981,0.046,235
18:34.4,2.981,0.046,235
18:35.2,2.981,0.051,235
18:36.1,2.981,0.051,235
18:36.9,2.981,0.05,235
18:37.7,2.981,0.05,235
18:39.3,2.943,0.045,235
18:40.2,2.943,0.045,235
18:41.0,2.943,0.045,235
18:41.8,2.943,0.048,235
18:43.3,2.943,0.047,235
18:44.2,2.943,0.047,235
18:45.0,2.943,0.047,235
18:45.8,2.943,0.049,235
18:46.7,2.943,0.049,235
18:48.4,2.943,0.044,235
18:49.2,2.943,0.044,235
18:50.0,2.943,0.042,235
18:50.8,2.943,0.042,235
18:52.5,2.943,0.043,235
18:53.3,2.943,0.043,235
18:54.1,2.943,0.043,235
18:54.9,2.943,0.048,235
18:55.7,2.943,0.048,235
18:57.4,2.943,0.049,235
18:58.1,2.943,0.049,235
18:58.8,2.943,0.047,235
19:00.4,3.038,0.047,235
19:01.3,3.038,0.043,235
19:02.1,3.038,0.043,235
19:02.9,3.038,0.046,235
19:03.7,3.038,0.046,235
